BIB_NO,Gender,Event,Time,Status
1515,M,그란폰도,06:43:54,
1516,M,메디오폰도,03:23:01,
1517,M,메디오폰도,03:20:24,
1518,M,그란폰도,03:58:08,
1519,M,그란폰도,06:07:07,
1520,M,메디오폰도,03:31:37,
1523,F,그란폰도,05:19:02,
1524,M,그란폰도,06:31:49,
1525,M,메디오폰도,03:12:03,
1526,M,그란폰도,05:44:28,
1527,M,그란폰도,06:30:21,
1528,M,메디오폰도,04:06:03,
1529,M,그란폰도,04:57:36,
1530,M,그란폰도,04:21:26,
1531,M,그란폰도,04:34:31,
1533,M,그란폰도,05:00:37,
1534,M,그란폰도,06:01:55,
1535,M,메디오폰도,04:12:42,
1536,F,그란폰도,06:41:02,
1537,M,그란폰도,05:51:10,
1538,M,그란폰도,05:30:49,
1539,M,메디오폰도,04:40:56,
1540,M,그란폰도,04:18:20,
1542,F,메디오폰도,05:03:49,
1543,M,메디오폰도,,DNF
1544,M,그란폰도,06:20:34,
1545,M,메디오폰도,04:40:30,
1547,M,그란폰도,05:41:47,
1548,M,그란폰도,05:24:23,
1550,M,그란폰도,05:10:16,
1552,M,그란폰도,05:24:57,
1553,M,그란폰도,05:39:17,
1556,M,그란폰도,,DNF
1557,F,그란폰도,05:26:42,
1558,M,그란폰도,05:20:16,
1559,M,그란폰도,06:20:35,
1560,M,메디오폰도,03:51:31,
1561,M,그란폰도,05:48:36,
1563,M,메디오폰도,04:43:29,
1564,M,그란폰도,04:53:06,
1565,M,그란폰도,06:37:24,
1567,M,그란폰도,06:00:06,
1568,M,메디오폰도,04:30:25,
1569,M,메디오폰도,04:07:12,
1570,M,메디오폰도,03:14:10,
1571,M,그란폰도,05:56:41,
1572,M,그란폰도,05:45:53,
1573,F,그란폰도,06:05:34,
1574,M,메디오폰도,03:52:56,
1575,M,메디오폰도,03:35:45,
1576,M,그란폰도,05:53:08,
1578,M,메디오폰도,03:54:52,
1580,M,메디오폰도,,DNF
1581,F,메디오폰도,03:28:32,
1582,M,메디오폰도,04:21:28,
1583,M,메디오폰도,04:20:58,
1584,M,메디오폰도,04:15:11,
1585,M,그란폰도,05:41:51,
1586,M,메디오폰도,03:47:26,
1587,M,메디오폰도,04:52:14,
1588,M,그란폰도,05:51:25,
1590,M,그란폰도,04:48:34,
1591,F,그란폰도,05:57:26,
1594,M,그란폰도,04:32:33,
1595,M,그란폰도,04:50:41,
1596,M,메디오폰도,05:25:11,
1600,M,그란폰도,05:39:42,
1601,M,메디오폰도,03:56:18,
1603,M,메디오폰도,04:17:58,
1604,M,그란폰도,04:22:31,
1605,M,그란폰도,05:56:59,
1606,M,그란폰도,04:52:55,
1607,M,그란폰도,06:50:30,
1609,M,메디오폰도,03:11:52,
1610,M,메디오폰도,03:36:27,
1611,M,그란폰도,05:11:31,
1613,M,그란폰도,04:37:08,
1614,M,그란폰도,06:09:46,
1615,M,그란폰도,04:35:05,
1616,M,그란폰도,05:16:05,
1617,M,메디오폰도,04:07:51,
1619,M,메디오폰도,03:54:56,
1620,M,그란폰도,05:24:02,
1621,M,그란폰도,06:37:52,
1622,M,메디오폰도,04:17:32,
1623,M,메디오폰도,06:14:54,
1624,M,메디오폰도,04:18:46,
1625,M,메디오폰도,04:07:10,
1629,M,그란폰도,06:06:12,
1631,M,그란폰도,05:03:28,
1632,M,메디오폰도,03:54:23,
1634,M,그란폰도,04:54:39,
1635,M,그란폰도,05:47:01,
1636,M,그란폰도,,DNF
1638,M,그란폰도,,DNF
1639,M,메디오폰도,03:14:06,
1640,M,그란폰도,05:18:38,
1641,M,메디오폰도,04:09:53,
1643,F,메디오폰도,04:13:56,
1644,M,메디오폰도,04:22:17,
1645,M,메디오폰도,04:05:08,
1646,M,메디오폰도,04:34:37,
1648,M,그란폰도,,DNF
1649,M,메디오폰도,05:15:36,
1650,F,그란폰도,05:27:03,
1651,M,그란폰도,,DNF
1652,M,메디오폰도,04:12:24,
1654,M,메디오폰도,04:32:53,
1655,M,메디오폰도,04:19:08,
1658,F,메디오폰도,04:05:40,
1659,M,그란폰도,,DNF
1660,M,그란폰도,05:16:53,
1661,M,그란폰도,04:55:01,
1662,M,그란폰도,04:52:06,
1663,M,그란폰도,05:22:46,
1666,M,그란폰도,05:09:44,
1668,M,그란폰도,05:23:36,
1670,M,그란폰도,04:41:20,
1672,M,그란폰도,04:57:27,
1675,F,메디오폰도,03:38:15,
1676,M,메디오폰도,03:47:59,
1677,M,그란폰도,05:59:35,
1678,M,그란폰도,05:50:20,
1679,M,그란폰도,06:07:42,
1680,F,그란폰도,05:26:02,
1683,M,메디오폰도,,DNF
1684,M,메디오폰도,,DNF
1685,M,그란폰도,05:08:51,
1686,F,그란폰도,04:48:46,
1687,M,그란폰도,06:24:46,
1689,M,그란폰도,05:52:44,
1690,M,그란폰도,05:34:39,
1692,M,그란폰도,05:53:30,
1693,M,메디오폰도,04:08:44,
1696,M,메디오폰도,03:40:37,
1698,M,메디오폰도,02:55:40,
1699,M,메디오폰도,03:58:38,
1702,M,그란폰도,06:28:55,
1703,M,메디오폰도,03:27:28,
1704,M,그란폰도,,DNF
1706,M,그란폰도,05:30:46,
1707,M,그란폰도,05:37:04,
1709,M,메디오폰도,03:54:22,
1712,M,메디오폰도,03:48:32,
1713,M,메디오폰도,04:44:55,
1714,M,메디오폰도,03:54:48,
1715,M,그란폰도,04:03:47,
1718,M,그란폰도,05:45:36,
1720,M,그란폰도,06:21:53,
1721,M,메디오폰도,04:13:55,
1722,M,메디오폰도,05:31:23,
1724,F,메디오폰도,05:15:51,
1725,M,그란폰도,05:15:21,
1728,M,메디오폰도,04:03:02,
1729,M,그란폰도,05:50:16,
1731,M,그란폰도,04:57:31,
1732,M,그란폰도,04:57:25,
1733,M,그란폰도,05:59:46,
1734,M,메디오폰도,03:54:52,
1736,M,그란폰도,05:54:09,
1738,M,그란폰도,05:45:03,
1739,M,그란폰도,05:51:45,
1740,M,그란폰도,05:20:48,
1742,M,그란폰도,05:30:29,
1743,M,메디오폰도,04:36:43,
1744,M,메디오폰도,04:48:15,
1745,M,메디오폰도,04:21:32,
1747,M,그란폰도,06:23:30,
1748,M,메디오폰도,02:51:00,
1749,F,그란폰도,06:23:44,
1751,M,그란폰도,05:26:59,
1754,M,그란폰도,05:54:56,
1756,M,메디오폰도,04:02:26,
1757,M,그란폰도,05:02:20,
1758,M,메디오폰도,03:22:53,
1760,F,그란폰도,04:59:08,
1762,M,그란폰도,06:05:47,
1763,M,그란폰도,05:45:30,
1766,M,그란폰도,05:35:57,
1767,M,메디오폰도,03:40:56,
1768,M,메디오폰도,03:55:11,
1769,M,메디오폰도,04:13:01,
1772,F,그란폰도,06:09:59,
1775,M,메디오폰도,05:04:21,
1776,M,그란폰도,05:29:03,
1777,M,그란폰도,05:49:49,
1779,M,그란폰도,05:57:39,
1780,M,메디오폰도,,DNF
1782,F,그란폰도,04:57:41,
1784,M,그란폰도,05:26:41,
1787,M,메디오폰도,03:13:38,
1788,M,그란폰도,05:46:27,
1791,M,메디오폰도,04:20:54,
1792,M,메디오폰도,04:11:39,
1793,M,그란폰도,05:39:34,
1794,M,메디오폰도,04:13:17,
1795,M,그란폰도,,DNF
1796,M,그란폰도,,DNF
1798,M,그란폰도,05:22:34,
1799,M,그란폰도,05:34:23,
1800,M,그란폰도,05:15:51,
1801,M,그란폰도,05:43:23,
1802,M,그란폰도,06:00:23,
1803,M,그란폰도,05:57:52,
1804,M,그란폰도,,DNF
1806,M,그란폰도,06:24:15,
1809,M,그란폰도,,DNF
1812,M,그란폰도,04:59:23,
1813,F,메디오폰도,03:39:03,
1814,M,메디오폰도,04:34:42,
1815,M,메디오폰도,03:30:20,
1816,M,그란폰도,06:37:35,
1817,M,메디오폰도,03:58:38,
1819,M,그란폰도,05:36:49,
1821,M,그란폰도,05:37:19,
1822,M,그란폰도,04:34:33,
1825,M,그란폰도,05:28:46,
1826,M,그란폰도,04:28:46,
1829,M,그란폰도,05:18:08,
1830,M,메디오폰도,04:14:25,
1831,M,메디오폰도,04:21:38,
1832,M,그란폰도,06:44:58,
1833,M,그란폰도,05:50:02,
1836,M,그란폰도,04:09:39,
1837,M,메디오폰도,04:35:09,
